Title,Year,Domestic (USD),International (USD),Total Worldwide (USD)
Batman: The Movie,1966,137780000,0,1377800
Batman,1989,251188924,160160000,411348924
Batman Returns,1992,162831698,103990656,266822354
Batman Forever,1995,184031112,152498032,336529144
Batman & Robin,1997,107325195,130992619,238317814
Batman Begins,2005,206852432,166745533,373597965
The Dark Knight,2008,534858444,471115310,1005973754
The Dark Knight Rises,2012,448139099,634089008,1082228107
Batman v Superman: Dawn of Justice,2016,330360194,543274725,873634919
Justice League,2017,229024295,426920914,655945209
The Batman,2022,369345583,401600374,770945957